AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
1.5476,0.6907,0.5214,-1.7122,0.1148,0.0007,0.101,0.5779,0.4226,4.8648,2.614,2.1658,4.1376,2.0396
13.3758,7.1104,8.5284,6.0912,3.6795,-0.0232,0.7099,0.1628,0.1854,18.6766,4.7176,1.952,7.1215,5.7523
10.274,5.7998,5.8173,4.1755,3.5261,-0.0199,0.9143,0.3541,0.1052,10.8976,2.645,1.0845,5.3174,4.4058
-3.4576,-2.8453,-3.8585,-2.29,-1.4774,-0.0048,0.8074,1.1137,0.31,-13.1816,-3.325,-0.6902,-2.3976,-1.2643
-12.2566,-10.9045,-9.5417,-4.2149,-7.3391,-0.0047,0.5985,1.6482,0.5737,-31.1826,-8.8328,-2.5998,-10.5743,-5.8005
-9.4382,-11.9745,-7.882,-3.0382,-8.2905,-0.0172,0.1855,1.4301,0.5075,-33.0367,-10.3802,-2.6799,-12.1893,-5.1344
-0.5516,-6.8227,-3.0378,-3.4805,-4.4944,-0.024,-0.42,1.1966,0.3709,-26.2391,-8.423,0.2224,-6.8193,-0.2058
6.7027,0.2415,1.4187,-3.6142,-1.7734,-0.0144,-0.6985,1.8407,0.8469,-16.2779,-4.6805,3.8992,0.8196,4.7306
7.8352,5.644,3.5333,-1.5709,-2.2656,0.0103,-0.2212,2.6612,1.698,-0.6777,0.8036,4.9748,7.7271,6.167
3.8268,7.4868,2.8784,0.0238,-1.5822,0.0295,0.5864,2.3777,1.8473,18.2173,7.5345,4.0734,13.6019,4.809
2.5418,7.6826,3.6734,2.2304,3.065,0.0171,0.7585,1.2319,1.0641,32.9225,12.5999,4.6569,18.6364,4.8657
9.1314,10.5195,9.5787,8.3365,8.2342,-0.013,0.0176,0.2124,0.2179,41.4073,13.896,6.6311,21.4082,7.7302
15.0544,13.7793,14.1333,11.8297,9.1545,-0.0136,-0.6385,-0.6998,-0.2043,41.4864,12.1002,6.2063,16.352,8.391
8.461,8.4291,7.3016,2.6504,4.5952,0.021,-0.1912,-1.6264,-0.454,23.2311,7.1667,1.8994,0.1692,2.4667
-6.3781,-5.6779,-7.5452,-13.0325,-2.5724,0.0388,0.7998,-1.5553,-0.5317,-12.4104,-1.6772,-3.384,-16.0435,-5.5614
-13.1307,-14.4766,-14.8217,-16.8796,-6.6658,0.0095,0.9415,0.0567,-0.1726,-38.2795,-9.84,-5.2751,-15.4307,-7.0846
-5.9437,-9.6138,-7.5876,-4.8863,-4.1531,-0.0352,0.1702,1.6765,0.3245,-29.4231,-9.2913,-1.9044,-0.1014,-1.1836
3.8938,-1.466,2.8807,6.021,0.8391,-0.0533,-0.2305,1.5824,0.4255,0.68,-0.575,2.998,10.9513,4.4012
4.9284,-1.4434,3.5269,2.6765,1.1188,-0.0371,0.252,0.4849,0.3445,16.6562,5.8351,3.5211,9.9129,4.2411
-0.7621,-4.6891,-2.8226,-6.5288,-2.9359,-0.0029,0.6419,0.2577,0.5777,7.7411,4.0252,0.2027,4.9385,0.9386
-4.4976,-2.5356,-4.614,-6.7901,-4.644,0.0262,0.1302,0.8079,0.8021,-5.8442,-0.5228,-0.6981,-0.3297,-1.2582
-3.0943,1.8559,0.394,1.3055,-2.4754,0.0309,-0.6741,0.841,0.5827,-7.2122,-1.3161,2.5118,-7.5039,-1.6177
1.5757,3.3645,5.349,7.0641,-0.6599,0.012,-0.7087,0.7923,0.4899,0.3441,0.8858,5.2662,-8.8216,0.0668
7.4149,5.7838,6.963,7.4709,0.6367,-0.008,-0.0055,1.4787,0.831,7.8756,2.4249,4.5875,2.5923,3.9723
10.9954,10.597,6.6963,6.0134,4.4573,-0.0122,0.4899,1.4343,0.5898,12.275,2.5477,1.7986,14.9868,6.7384
9.4957,11.0052,5.2053,2.9874,8.0739,-0.005,0.3402,-0.2077,-0.4229,14.3951,3.2293,0.1074,14.2764,5.51
6.5644,6.4225,4.0993,-0.5213,6.7406,0.0018,0.024,-1.0133,-0.5897,16.6909,5.85,2.296,6.8722,3.7818
6.642,4.378,5.0569,-0.5094,3.3093,0.0029,-0.0014,0.1253,0.3289,19.025,8.1635,5.9597,5.149,4.6408
4.862,3.2456,3.5102,-0.2194,2.6447,-0.0007,0.1316,0.1301,0.2396,15.105,6.207,3.9522,5.5578,3.5803
-4.152,-5.3474,-4.5717,-6.1389,1.7641,-0.0067,0.1454,-2.0984,-1.1638,2.014,0.7417,-3.5467,-0.224,-2.4524
-12.3322,-15.9606,-11.0494,-11.4217,-3.492,-0.0136,0.0561,-2.5794,-1.3123,-10.7872,-2.8258,-6.1389,-8.0546,-6.9458
-9.8388,-14.6981,-7.2235,-5.5931,-8.8177,-0.0147,0.0142,0.5095,0.5522,-14.0364,-2.8342,-0.5191,-9.1148,-4.5093
-3.3605,-3.9012,-0.9508,2.8642,-8.541,-0.0006,0.0375,3.1324,1.8943,-12.5588,-3.0621,2.9103,-3.1294,-0.3852
-3.9434,1.8527,-2.8042,0.5045,-5.1093,0.0233,0.0569,2.4394,1.3518,-13.5956,-4.6706,-1.1227,2.8581,-0.624
-6.1573,1.3447,-5.64,-4.5505,-2.9441,0.0356,0.0567,0.807,0.4958,-11.7279,-4.1251,-4.0234,2.8412,-2.2334
0.8214,5.282,1.268,1.272,-0.1821,0.0275,0.0552,0.4703,0.3844,0.4927,-0.0106,-0.1166,-0.7297,-0.0451
11.8248,13.2208,11.1509,10.3618,5.589,0.0088,0.0395,0.5028,0.2531,17.1079,5.0069,5.1324,1.3521,4.813
13.8655,14.077,12.1176,10.0131,9.8456,-0.01,0.0035,0.2413,-0.1285,25.4541,8.177,6.9511,9.6643,7.5473
6.0302,6.1432,5.7297,4.4776,7.1839,-0.0173,-0.0162,0.1621,-0.1963,18.6007,6.9663,5.4398,10.4547,5.0877
-2.6037,-2.1233,-1.0688,0.6664,0.3176,-0.0058,0.0057,-0.3299,-0.3201,-2.3054,-0.6242,-0.3321,-2.6317,-1.5131
-6.0314,-6.9716,-6.5356,-4.3564,-3.6973,0.003,0.0429,-1.6247,-1.0141,-24.8739,-10.1689,-8.2631,-14.4013,-6.6492
-4.0725,-10.1282,-8.5633,-9.8132,-2.7806,-0.0167,0.0582,-2.1733,-1.4352,-29.0865,-11.6752,-9.526,-11.3288,-5.2547
0.2116,-9.9048,-4.4369,-8.8648,-0.1527,-0.0404,0.0458,-1.0951,-0.797,-10.4383,-2.8152,-1.2846,-1.829,0.2393
2.0416,-4.1265,1.2546,-2.9461,1.318,-0.0244,0.0247,0.1823,0.1616,10.1975,6.1646,6.0987,2.3087,3.0485
-1.0908,1.7318,1.4897,0.5149,0.963,0.0123,0.0122,0.5879,0.5241,13.9562,6.7727,4.6693,4.0078,1.4185
-5.9807,0.581,-2.2541,0.3543,-0.742,0.0167,0.0079,0.7517,0.512,6.97,3.1605,0.5237,7.4082,-0.6825
-6.2695,-3.245,-2.7856,0.2731,-2.2897,-0.0029,-0.0013,1.1486,0.7073,5.4471,2.8992,1.3487,8.3077,-0.1915
0.5254,0.7912,2.3569,2.7329,-2.0383,0.0022,-0.0151,1.3254,1.043,11.7333,4.9828,3.9764,5.2298,2.0331
7.9655,9.7996,7.58,6.6177,-0.3059,0.0266,-0.0175,0.8259,0.8993,13.153,3.4488,2.3687,0.6523,2.7926
6.8925,9.3402,5.698,6.1223,0.8619,0.0255,-0.0095,-0.2202,0.0053,0.1484,-2.3043,-1.7828,-5.8392,0.1815
-0.9316,-1.0488,-1.8295,-0.8032,0.5547,0,-0.0124,-0.9388,-0.85,-17.0256,-6.761,-3.6124,-10.233,-2.9796
-4.1091,-5.0091,-5.0565,-4.3151,0.2139,-0.0138,-0.0315,-0.4859,-0.7027,-17.3441,-5.8784,-2.9532,-3.404,-2.2013
0.6776,2.4027,-0.0423,2.2668,1.3806,-0.0107,-0.0522,0.487,0.0391,1.1213,-1.1627,-1.7717,10.3593,1.6379
4.8086,7.1393,5.0448,7.9479,3.3247,-0.0094,-0.0688,0.4303,0.1538,15.666,3.1507,0.2713,13.0846,3.4261
3.5088,2.0974,3.769,2.7033,3.6369,-0.0084,-0.0758,-0.74,-0.4479,10.787,3.8691,2.5634,-0.2253,1.4366
1.2664,-2.8454,0.3273,-4.3802,1.0919,0.0036,-0.0566,-1.4584,-0.7063,-2.4359,0.8481,1.8235,-12.9952,-1.3447
0.9204,-0.8807,-0.2689,-2.6966,-2.1515,0.0166,-0.0232,-0.8553,-0.1974,-6.3274,-2.3079,-1.7465,-10.7125,-2.1139
0.3801,2.111,0.6319,2.6591,-2.4078,0.0124,-0.0203,0.0043,0.254,1.0569,-1.5896,-3.2553,0.7803,-0.9834
-0.7722,0.8853,0.9125,3.7176,0.3571,-0.0043,-0.0531,-0.2739,-0.0614,9.9209,2.0438,-1.3415,6.0521,-0.0519
-1.2872,-1.8811,0.6454,1.2882,1.6404,-0.009,-0.0716,-1.1538,-0.5343,12.0832,4.0592,0.2976,1.2699,-0.6393
-1.9966,-3.3923,-0.7883,-2.3075,-0.8144,0.0031,-0.0552,-0.8786,-0.1997,6.3703,3.0617,0.6264,-3.2378,-1.2843
